nct_id,Type,Criterion
NCT07076199,Inclusion,Diagnosed with type 1 diabetes mellitus greater than or equal to (≥) 1 year before screening.
NCT07076199,Inclusion,Treated with multiple daily insulin injections (daily basal insulin analogue and bolus insulin analogue regimen) ≥ 6 months before screening.
NCT07076199,Inclusion,"HbA1c from 7.0-10.0 percentage (%) (53.0-85.8 millimoles per mole (mmol/mol)), both inclusive, at screening confirmed by central laboratory analysis."
NCT07076199,Exclusion,Known or suspected hypersensitivity to study intervention(s) or related products.
NCT07076199,Exclusion,Previous participation in this study. Participation is defined as signed informed consent.
NCT07076199,Exclusion,"Female who is pregnant, breast-feeding or intends to become pregnant or is of childbearing potential and not using adequate contraceptive method."
NCT07076199,Exclusion,"Exposure to an investigational medicinal product within 90 days or 5 half-lives of the investigational medicinal product (if known), whichever is longer, before screening."
NCT07076199,Exclusion,"Any condition, except for conditions associated with type 1 diabetes mellitus, which in the investigator's opinion might jeopardise participant's safety or compliance with the protocol."
NCT07076199,Exclusion,"Anticipated initiation or anticipated change in concomitant medications (for more than 15 consecutive days) known to affect weight or glucose metabolism (e.g., treatment with thyroid hormones, or systemic corticosteroids)."
NCT07076199,Exclusion,Known hypoglycaemic unawareness as indicated by the Investigator according to Clarke's questionnaire question.
NCT07076199,Exclusion,Recurrent severe hypoglycaemic episodes within the last year as judged by the investigator.
NCT06962280,Iclusion,Have type 1 diabetes and on insulin treatment for at least one year prior to screening
NCT06962280,Iclusion,"Have an HbA1c value of 7.0% to 10.5% inclusive, at screening"
NCT06962280,Iclusion,Have a body mass index (BMI) of ≥25 kilograms per square meter (kg/m2) at screening
NCT06962280,Iclusion,Are of stable weight for at least 90 days prior to screening and agree to not start an intensive diet or exercise program during the study
NCT06962280,Exclusion,Have experienced two or more events requiring hospitalization due to poor glucose control (hyperglycemia or (diabetic ketoacidosis (DKA)) during the period of 180 days prior to screening and until randomization.
NCT06962280,Exclusion,Have experienced one or more events of severe hypoglycemia during the period of 90 days prior to screening and until randomization.
